N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
117,Asociación de Ayuda Humanitaria al Prójimo de Extrema Pobreza en el Perú,Lima,Lima,Lima,Yparraguirre Carhuallanqui  Esther Graciela,Mujer y Poblaciones Vulnerables/
118,Asociación de Ayuda Humanitaria Unidos en Dios,Lima,Lima,San Martin De Porres,Gordillo Neyra  Roman Arnaldo,Mujer y Desarrollo Social/
119,Asociación de Ayuda Integral Peruana,Lima,Lima,Jesus Maria,Mariño Vigo  Carlos Ramiro,Educacion/Salud/
120,Asociacion de Ayuda para el Desarrollo de Pobladores en Extrema Pobreza del Perú,Lima,Callao,Carmen De La Legua Reynoso,Charcape Saldaña  Manuel Humberto,Mujer y Desarrollo Social/Salud/
121,Asociación de Caridades San Vicente,Lima,Lima,Miraflores,Morra De Altamirano  Patricia,Mujer y Desarrollo Social/
122,Asociación de Construcción Civil Múltiple Empresarial y Artesanal de Paita,Piura,Paita,Paita,Ortiz Bances  Alejandro,Mujer y Desarrollo Social/
123,Asociación de Cooperación Técnica Internacional,Lima,Lima,San Isidro,Ainy  Jacob,Transportes y Comunicaciones/
124,Asociación de Damas de Ayuda al Enfermo con Cáncer,Piura,Piura,Piura,Cuadros De Espinoza  Claudia Maria Gloria,Salud/Trabajo y Promoción Social/
125,Asociación de Diabetes del Perú,Lima,Lima,Santiago De Surco,Valdivia Portugal  Angelica Maria,Mujer y Poblaciones Vulnerables/Salud/
126,Asociación de Discapacitados de Huaycan-Ate,Lima,Lima,Ate,Coronel Benites  Zacarias, Mujer Y Poblaciones Vulnerables/
127,Asociación de Discapacitados Unidos para la Educacion Salud y Trabajo,Lima,Lima,Rimac,Cristobal Alfaro  Angela,Educacion/Trabajo Y Promocion Social/
128,Asociación de Emprendimiento y Bienestar para el Desarrollo Solidario,Lima,Lima,San Juan De Miraflores,Peña Ambulay  Jhon Carlos,Educación/
129,Asociación de Espina Bifida e Hidrocefalia del Perú,Lima,Lima,Rimac,Pino Diaz  Gilda Delmy,Educacion/Salud/
130,Asociación de ex pacientes del Hogar Clínica San Juan de Dios,Lima,Lima,Comas,Perez Palomino  Luis Eduardo,Mujer y Poblaciones Vulnerables/
131,Asociación de Guías de Montaña del Perú,Ancash,Huaraz,Huaraz,Figueroa Chavez  Rafael Saturnino,Educacion/
132,Asociación de Guías Oficiales de Caminata del Perú,Ancash,Huaraz,Independencia,Zarzosa Ramos  Pepe Raul,Cultura/ Mujer y Poblaciones Vulnerables/Comercio Exterior y Turismo/
133,Asociación de Hermanos Obreros de Jesús,Lima,Lima,San Miguel,Rodriguez Rodriguez  Manuel,Educacion/Mujer Y Desarrollo Social/Salud/
134,Asociación de la Cultura Italiana Susana Agnelli,Piura,Piura,Castilla,Seminario Ramos  Fernando Alfonzo,Educación/
135,Asociación de las Bienaventuranzas,Lima,Lima,Villa Maria Del Triunfo,Sanchez Portillo  Omar Alonso,Mujer Y Poblaciones Vulnerables/
136,Asociación de los Testigos de Jehova                                                                                    ,Lima,Lima,Santiago De Surco,Liza Millones  Victor Jose,Educacion/Mujer Y Desarrollo Social/Otros/
137,Asociación de Ministerios Extremos del Perú,Arequipa,Arequipa,Arequipa,Tibbs  Brian Lee,Educacion/Mujer y Desarrollo Social/
138,Asociación de Mujeres del Perú en Apoyo a Nivel Nacional,Lima,Lima,Rimac,Ysla Guido  Margarita Ysabel,Cultura/ Mujer y Poblaciones Vulnerables/
139,Asociacion de Mujeres Innovadoras del Cerro Colorado,La Libertad,Chepen,Chepen,Villalobos De Blas  Rosa Amelia,Mujer y Desarrollo Social/
140,Asociación de Prevención Desarrollo Social y Bienestar Espiritual,Lima,Lima,Jesus Maria,Ortega Caballero  Pedro Pablo,Mujer y Poblaciones Vulnerables/
141,Asociación de Productores Agrarios y Madereros Cataratas de Osurco Organismo No Gubernamental de Desarrollo,Cajamarca,Jaen,Jaen,Vargas Loayza  Felix,Mujer y Poblaciones Vulnerables/Agricultura Y Riego/
142,Asociación de Salvavidas Voluntarios del Perú,Lima,Lima,Breña,Hermoza Alvarez Cabrera  Luis Eustaquio,Educación/
143,Asociación de Trabajadores Sociales Benefactores de Servicios Múltiples Las Mercedes,Lima,Lima,Breña,Luque Corimayhua  Basilio Victor,Educacion/Mujer y Desarrollo Social/Salud/
144,Asociación del Voluntariado del Puericultorio Pérez Araníbar,Lima,Lima,Magdalena Del Mar,Palacios Montoya  Maria Del Rosario,Mujer y Desarrollo Social/
145,Asociacion Deportiva Yong Taekwondo Academy,Lima,Lima,Rimac,Yong Espino  Fernando Wilder,Cultura/ Mujer y Poblaciones Vulnerables/
146,Asociacion Diabet´S Control,Ica,Ica,Ica,Uchuya Campos  Miguel Carlos,Producción/Salud/
,,,,,Valencia Ferreyra  Carmen Esperanza,
147,Asociacion Dignidad,La Libertad,Trujillo,Trujillo,Benites Espinoza  Diego Giulliano,Educación/Mujer y Desarrollo Social/Salud/
148,Asociacion Dios Proveera,Lima,Lima,Jesus Maria,Murillo Briceño  Ada Melissa,Cultura/ Mujer Y Poblaciones Vulnerables/
149,Asociacion Educa Pacifico San Felipe,Lima,Lima,Comas,Suclly Amanqui  Daniel Leonidas,Mujer y Desarrollo Social/ Cultura/Educación/
150,Asociacion Educativa Cristiana Vida,Lima,Lima,Villa Maria Del Triunfo,Castañeda Silva  Cesar Augusto,Cultura/ Mujer y Poblaciones Vulnerables/
151,Asociacion Educativa Ideas Perú,Lima,Lima,Pueblo Libre,Espinoza Torres  Dina,Agricultura/Educacion/Salud/Vivienda Construcción Y Saneamiento/
152,Asociacion El Futuro es Nuestro ,Lima,Lima,Jesus Maria,Acasuzo Villanueva  Claudia Cristina,Mujer y Desarrollo Social/
153,Asociacion El Hogar de la Madre,Lima,Lima,Miraflores,Isola De Lavalle  Jose Antonio,Mujer y Poblaciones Vulnerables/
154,Asociacion Emasus San Martín de Porres,Lima,Lima,Villa Maria Del Triunfo,Muro Tirado  Marcelo Delfin,Mujer y Poblaciones Vulnerables/
155,Asociación Emaus Ayudanos a Ayudar,Lima,Lima,San Juan De Miraflores,Minchan Rios  Segundo Francisco,Mujer y Poblaciones Vulnerables/
156,Asociacion Emaus Corazon de Jesús,Lima,Lima,Villa Maria Del Triunfo,Minchan Rios  Carlos Enrique,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
157,Asociacion Emaus Nuevo Progreso Villa Maria,Lima,Lima,Villa Maria Del Triunfo,Yauri Huari  Severo Glicerio,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
158,Asociacion Emaus Renacer,Lima,Lima,Villa Maria Del Triunfo,Prado Perez  Gonzalo,Desarrollo e Inclusión Social/Educación/
159,Asociacion Emaus San Camilo,Lima,Lima,Villa Maria Del Triunfo,Solis Colana  Javier Antonio,Mujer y Desarrollo Social/
160,Asociacion Emaus San Vicentinos,Lima,Lima,Villa Maria Del Triunfo,Caja Guzman  Monica Sara,Mujer y Poblaciones Vulnerables/
161,Asociacion Emaus Solidaridad Y Apoyo,Lima,Lima,Villa Maria Del Triunfo,Sanchez Guerrero  German,Educacion/Mujer y Desarrollo Social/Salud/
162,Asociación Emmanuel                                                                                                     ,Lima,Lima,Jesus Maria,Sakoda Shinyashiki  Luis Tamotsu,Educación/Mujer y Desarrollo Social/Salud/Otros/
163,Asociación Esperanza y Caridad,Lima,Lima,Chorrillos,Garcia Rodriguez  Rosalia Amparo,Educación/Mujer y Desarrollo Social/Salud/
164,Asociación Evangelica de Cooperación Manos Unidas - Asecomu,Lima,Huaral,Chancay,Mata  Julio Cesar,Cultura/ Mujer y Poblaciones Vulnerables/Ambiente/Presidencia del Consejo de Ministros/Salud/
165,Asociacion Evangelica Esperanza Mundial,Loreto,Maynas,Iquitos,Kyle Carroll  Brandon,Mujer y Poblaciones Vulnerables/
166,Asociación Evangelica Iglesia Pentecostal de Santidad,Lima,Lima,Lima,Watanabe Sasaki  Jorge Luis,Educación/Salud/
167,Asociación Evangelica Siloe (AES),Lima,Lima,Santa Rosa,Tiznado Cabello  Jorge Luis,Mujer y Poblaciones Vulnerables/Educacion/
